iter	Passed	Remaining
0	1481	14813203
1	2496	12479312
2	3485	11614451
3	4395	10984209
4	5308	10611343
5	6296	10488411
6	7352	10496068
7	8289	10353184
8	9163	10172537
9	10125	10114937
10	11087	10068909
11	11997	9986196
12	12908	9916559
13	13889	9906963
14	14798	9850877
15	15738	9820789
16	16679	9794768
17	17603	9762244
18	18632	9788044
19	19642	9801377
20	20512	9747191
21	21584	9789563
22	22498	9759332
23	23434	9741109
24	24321	9704338
25	25279	9697733
26	26295	9712785
27	27356	9742706
28	28435	9777010
29	29524	9811977
30	30553	9825374
31	31579	9837019
32	32621	9852733
33	33643	9861359
34	34531	9831734
35	35702	9881657
36	36713	9885957
37	37687	9880007
38	38789	9907115
39	39905	9936542
40	40864	9926027
41	41893	9932821
42	43029	9963929
43	44170	9994501
44	45221	10003901
45	46275	10013546
46	47421	10042200
47	48527	10061439
48	49517	10056141
49	50618	10072982
50	51555	10057398
51	52475	10038953
52	53640	10067131
53	54693	10073764
54	55669	10066134
55	56644	10058507
56	57822	10086529
57	58753	10071116
58	59857	10085480
59	60692	10054794
60	61859	10079027
61	62928	10086766
62	63938	10085018
63	65272	10133579
64	66169	10113769
65	67120	10102722
66	68009	10082610
67	68955	10071557
68	69825	10049815
69	71022	10075042
70	71847	10047543
71	72819	10041002
72	73807	10036785
73	74830	10037460
74	75840	10036194
75	76784	10026426
76	77771	10022450
77	78950	10042960
78	79972	10043147
79	80964	10039632
80	81843	10022304
81	82841	10019730
82	83778	10010015
83	84778	10007846
84	85692	9995759
85	86644	9988345
86	87515	9971741
87	88406	9957734
88	89279	9942177
89	90584	9974320
90	91655	9980367
91	92766	9990543
92	93909	10003874
93	95178	10030206
94	96086	10018255
95	97237	10031720
96	98207	10026327
97	99161	10019349
98	100247	10025764
99	101228	10021620
100	102161	10012830
101	103235	10017874
102	104246	10016730
103	105109	10001581
104	105994	9988729
105	107059	9992857
106	107976	9983293
107	109229	10004570
108	110149	9995353
109	111110	9989828
110	111979	9976255
111	113272	10000352
112	114184	9990656
113	115063	9978245
114	116084	9978237
115	116945	9964545
116	117802	9950803
117	119167	9979735
118	120142	9975873
119	121054	9966812
120	122065	9965977
121	123233	9977910
122	124149	9969300
123	125400	9987525
124	126349	9981613
125	127290	9975105
126	128229	9968547
127	129172	9962391
128	130076	9953357
129	131412	9977252
130	132661	9994178
131	133668	9992738
132	134772	9998511
133	135734	9993701
134	136913	10004795
135	137844	9997749
